ipo_id,stock_code,concept_id,concept_name,data_date
HK_6687_HK_2025,6687.HK,011007_301740,次新股[HK],2026-05-09
HK_6809_HK_2026,6809.HK,011007_301740,次新股[HK],2026-05-09
HK_6810_HK_2026,6810.HK,011007_301740,次新股[HK],2026-05-09
HK_6831_HK_2025,6831.HK,011007_301740,次新股[HK],2026-05-09
HK_6883_HK_2025,6883.HK,011007_301740,次新股[HK],2026-05-09
HK_6887_HK_2025,6887.HK,011007_301740,次新股[HK],2026-05-09
HK_6922_HK_2022,6922.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_6936_HK_2024,6936.HK,011007_301763,物流[HK],2026-05-09
HK_6936_HK_2024,6936.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_6936_HK_2024,6936.HK,011007_306264,智能物流[HK],2026-05-09
HK_6936_HK_2024,6936.HK,011007_309172,机器人概念[HK],2026-05-09
HK_6938_HK_2026,6938.HK,011007_301740,次新股[HK],2026-05-09
HK_6955_HK_2022,6955.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_6960_HK_2025,6960.HK,011007_301740,次新股[HK],2026-05-09
HK_6980_HK_2025,6980.HK,011007_301740,次新股[HK],2026-05-09
HK_7489_HK_2026,7489.HK,011007_301740,次新股[HK],2026-05-09
HK_7618_HK_2025,7618.HK,011007_301740,次新股[HK],2026-05-09
HK_9609_HK_2025,9609.HK,011007_301740,次新股[HK],2026-05-09
HK_9611_HK_2026,9611.HK,011007_301740,次新股[HK],2026-05-09
HK_9660_HK_2024,9660.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_9678_HK_2025,9678.HK,011007_301740,次新股[HK],2026-05-09
HK_9678_HK_2025,9678.HK,011007_301989,智能医疗[HK],2026-05-09
HK_9678_HK_2025,9678.HK,011007_305848,人工智能[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_301765,新能源汽车[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_305798,锂电池[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_305844,特斯拉[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_308392,知名公司[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_308974,比亚迪概念[HK],2026-05-09
HK_9696_HK_2022,9696.HK,011007_309176,固态电池[HK],2026-05-09
HK_9857_HK_2022,9857.HK,011007_301741,影视娱乐[HK],2026-05-09
HK_9863_HK_2022,9863.HK,011007_301765,新能源汽车[HK],2026-05-09
HK_9866_HK_2022,9866.HK,011007_301758,腾讯概念[HK],2026-05-09
HK_9866_HK_2022,9866.HK,011007_301765,新能源汽车[HK],2026-05-09
HK_9866_HK_2022,9866.HK,011007_308392,知名公司[HK],2026-05-09
HK_9866_HK_2022,9866.HK,011007_308804,回港中概股[HK],2026-05-09
HK_9877_HK_2022,9877.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_9878_HK_2022,9878.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_9880_HK_2023,9880.HK,011007_307594,粤港澳[HK],2026-05-09
HK_9880_HK_2023,9880.HK,011007_309172,机器人概念[HK],2026-05-09
HK_9881_HK_2025,9881.HK,011007_301740,次新股[HK],2026-05-09
HK_9887_HK_2025,9887.HK,011007_301740,次新股[HK],2026-05-09
HK_9896_HK_2022,9896.HK,011007_306256,零售股[HK],2026-05-09
HK_9896_HK_2022,9896.HK,011007_308392,知名公司[HK],2026-05-09
HK_9896_HK_2022,9896.HK,011007_308804,回港中概股[HK],2026-05-09
HK_9896_HK_2022,9896.HK,011007_309018,双重主要上市中概股[HK],2026-05-09
HK_9896_HK_2022,9896.HK,011007_309175,IP经济(谷子经济)[HK],2026-05-09
HK_9903_HK_2026,9903.HK,011007_301740,次新股[HK],2026-05-09
HK_9927_HK_2025,9927.HK,011007_301740,次新股[HK],2026-05-09
HK_9955_HK_2022,9955.HK,011007_308674,SaaS概念[HK],2026-05-09
HK_9955_HK_2022,9955.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_9973_HK_2025,9973.HK,011007_301740,次新股[HK],2026-05-09
HK_9980_HK_2026,9980.HK,011007_301740,次新股[HK],2026-05-09
HK_9981_HK_2026,9981.HK,011007_301740,次新股[HK],2026-05-09
