ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_6166_HK_2025,6166.HK,sw,通信,通信设备,通信终端及配件,,011008027002003,5,2026-05-09
HK_6166_HK_2025,6166.HK,ths_global,通讯业务,电信业务,综合电信业务Ⅲ,综合电信业务Ⅳ,011003009001064158,6,2026-05-09
HK_6168_HK_2025,6168.HK,sw,纺织服饰,饰品,钟表珠宝,,011008009003001,5,2026-05-09
HK_6168_HK_2025,6168.HK,ths_global,非日常生活消费品,耐用消费品与服装,纺织品、服装与奢侈品,服装、服饰与奢侈品,011003004002026061,6,2026-05-09
HK_6181_HK_2024,6181.HK,sw,纺织服饰,饰品,钟表珠宝,,011008009003001,5,2026-05-09
HK_6181_HK_2024,6181.HK,ths_global,非日常生活消费品,非必需消费品分销和零售,专营零售,其他专卖店,011003004005033083,6,2026-05-09
HK_6600_HK_2025,6600.HK,sw,机械设备,自动化设备,机器人,,011008023005001,5,2026-05-09
HK_6600_HK_2025,6600.HK,ths_global,非日常生活消费品,耐用消费品与服装,家庭耐用消费品,家用电器,011003004002024057,6,2026-05-09
HK_6603_HK_2025,6603.HK,sw,食品饮料,饮料乳品,软饮料,,011008008004001,5,2026-05-09
HK_6603_HK_2025,6603.HK,ths_global,日常消费品,食品、饮料与烟草,饮料,软饮料与不含酒精饮料,011003005002035092,6,2026-05-09
HK_6610_HK_2022,6610.HK,sw,传媒,数字媒体,其他数字媒体,,011008026004006,5,2026-05-09
HK_6610_HK_2022,6610.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_6613_HK_2025,6613.HK,sw,电子,消费电子,消费电子零部件及组装,,011008005005002,5,2026-05-09
HK_6613_HK_2025,6613.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子制造服务,011003008002060150,6,2026-05-09
HK_6623_HK_2023,6623.HK,sw,非银金融,多元金融,其他多元金融,,011008018003007,5,2026-05-09
HK_6623_HK_2023,6623.HK,ths_global,金融,金融服务,金融服务,综合金融服务,011003007002048113,6,2026-05-09
HK_6636_HK_2026,6636.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_6639_HK_2022,6639.HK,sw,医药生物,医疗服务,医院,,011008011006003,5,2026-05-09
HK_6639_HK_2022,6639.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健提供商与服务,保健护理机构,011003006001041103,6,2026-05-09
HK_6651_HK_2025,6651.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_6651_HK_2025,6651.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_6655_HK_2022,6655.HK,sw,建筑材料,水泥,水泥制造,,011008020001001,5,2026-05-09
HK_6655_HK_2022,6655.HK,ths_global,原材料,原材料Ⅱ,建筑材料Ⅲ,建筑材料Ⅳ,011003002001004013,6,2026-05-09
HK_6656_HK_2026,6656.HK,ths_global,工业,资本品,电气设备,电气部件与设备,011003003001011026,6,2026-05-09
HK_6657_HK_2024,6657.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_6660_HK_2022,6660.HK,sw,医药生物,生物制品,疫苗,,011008011003002,5,2026-05-09
HK_6660_HK_2022,6660.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
